400	-1725,2	-1290,1	-1124,3	-1239,4	-1070,4	-993,7	-943,2333	-218,3167	
402	-1612	-1272	-1328,4	-1020,4	-794,8	-719,7	-897,2	-251,0667	
404	-1532,7	-1382,3	-1040	-712,5	-374,4	-315,8	-817,5833	-209,6333	
406	-1512,8	-1483,1	-942	-544,9	-195,6	-118	-778,05	-242,2667	
408	-1675,1	-1530,5	-1036,2	-697,3	-328	-260,1	-904,4666	-304,1667	
410	-2020,8	-1911,3	-1437,9	-1155,2	-902,5	-923,6	-1179,233	-494,85	
412	-2434,2	-2429,2	-2110,7	-1924,2	-1760,5	-1850,4	-1562,483	-676,5	
414	-2952,3	-3062,8	-3015,7	-3070,7	-3069,5	-3346,4	-2068,55	-960,0333	
416	-3452,2	-3855,7	-4197,8	-4524,8	-4919,4	-5338,4	-2631,583	-1292,35	
418	-3863,6	-4554,8	-5426,5	-6143,2	-6805,7	-7510,1	-3065,583	-1571,933	
420	-4128,7	-4984,9	-6480,8	-7471,9	-8508,1	-9277,5	-3348,167	-1803,9	
422	-4082	-4958,6	-6418	-7598,3	-8743,9	-9386	-3333,916	-1961,717	
424	-3858,6	-4300,2	-5537,2	-6302	-7144,6	-7405,4	-2994,3	-1932,517	
426	-3434,6	-3456,2	-4012,9	-4387,5	-4823,1	-4721,6	-2497,133	-1862,55	
428	-3037,1	-2619,5	-2759,8	-2832,6	-2843	-2335,4	-1931,717	-1767,7	
430	-2598,3	-2178,1	-1726,9	-1660,4	-1476,5	-441,7	-1456,55	-1690,033	
432	-2280,1	-1761,5	-1125	-907,9	-557,9	661,4	-1064,333	-1574,517	
434	-2149,1	-1590,8	-1021,3	-773,3	-356,8	1033,3	-933,1833	-1462,883	
436	-2324,6	-1912,1	-1314,3	-1098,1	-700,8	459,9	-1027,483	-1332,917	
438	-2596,3	-2330,1	-1966,3	-1738,3	-1425	-527,7	-1334,583	-1277,3	
440	-2888,4	-2824,5	-2580,5	-2398,7	-2152,9	-1530,3	-1650,183	-1248,3	
442	-3447,8	-3058,3	-2986	-2918,1	-2735,1	-2278	-2000,167	-1304,367	
444	-3019,7	-2905,8	-3028,4	-3006,9	-2899,1	-2650,1	-2097,217	-1270,967	
446	-2264,3	-2436,3	-2707,6	-2714,2	-2619,3	-2527,3	-2025,233	-1205,167	
